# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
26055,note1,Down,2
26085,note1,Down,2
26118,note1,Down,2
26165,note1,Down,2
26197,note1,Down,2
26228,note1,Down,2
26260,note1,Down,2
26291,note1,Down,2
26323,note1,Down,2
26354,note1,Down,2
26385,note1,Down,2
26416,note1,Down,2
26462,note1,Down,2
26493,note1,Down,2
26525,note1,Down,2
26557,note1,Down,2
26588,note1,Down,2
26619,note1,Down,2
26650,note1,Down,2
26681,note1,Down,2
26712,note1,Down,2
26758,note1,Down,2
26790,note1,Down,2
26820,note1,Down,2
26851,note1,Down,2
26883,note1,Down,2
26913,note1,Down,2
26943,note1,Down,2
26975,note1,Down,2
27021,note1,Down,2
27053,note1,Down,2
27064,note1,Up,2
27067,note2,Up,2
27069,note4,Up,2
27090,note7,Up,2
