# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
18345,note7,Down,0.350001
18376,note7,Down,0.350001
18422,note7,Down,0.350001
18454,note7,Down,0.350001
18483,note7,Down,0.350001
18515,note7,Down,0.350001
18546,note7,Down,0.350001
18578,note7,Down,0.350001
18609,note7,Down,0.250001
18640,note7,Down,0.100001
18687,note7,Down,0.100001
18719,note7,Down,0.100001
18750,note7,Down,0.100001
18783,note7,Down,0.100001
18813,note7,Down,0.100001
18926,note7,Up,0.100001
19311,note7,Down,0
19911,note7,Down,0
19942,note7,Down,0
19974,note7,Down,0
20007,note7,Down,0
20038,note7,Down,0
20084,note7,Down,0
20116,note7,Down,0
20148,note7,Down,0
20182,note7,Down,0.15
20212,note7,Down,0.3
20243,note7,Down,0.3
20274,note7,Down,0.3
20305,note7,Down,0.3
20335,note7,Down,0.3
20382,note7,Down,0.3
20413,note7,Down,0.3
20443,note7,Down,0.3
20475,note7,Down,0.3
20507,note7,Down,0.3
20537,note7,Down,0.3
20570,note7,Down,0.3
20600,note7,Down,0.3
20647,note7,Down,0.3
20679,note7,Down,0.3
20709,note7,Down,0.3
20741,note7,Down,0.3
20772,note7,Down,0.3
20804,note7,Down,0.3
20835,note7,Down,0.3
20866,note7,Down,0.3
20898,note7,Down,0.3
20944,note7,Down,0.3
20974,note7,Down,0.3
21009,note7,Down,0.3
21042,note7,Down,0.3
21071,note7,Down,0.3
21103,note7,Down,0.3
21134,note7,Down,0.3
21167,note7,Down,0.3
21197,note7,Down,0.3
21228,note7,Down,0.3
21259,note7,Down,0.3
21306,note7,Down,0.3
21338,note7,Down,0.3
21369,note7,Down,0.3
21401,note7,Down,0.3
21433,note7,Down,0.3
21464,note7,Down,0.3
21496,note7,Down,0.3
21527,note7,Down,0.3
21558,note7,Down,0.3
21589,note7,Down,0.3
21635,note7,Down,0.3
21669,note7,Down,0.3
21699,note7,Down,0.3
21731,note7,Down,0.3
21764,note7,Down,0.3
21793,note7,Down,0.3
21824,note7,Down,0.3
21856,note7,Down,0.3
21888,note7,Down,0.3
21918,note7,Down,0.3
21966,note7,Down,0.3
21997,note7,Down,0.3
22029,note7,Down,0.3
22060,note7,Down,0.3
22092,note7,Down,0.3
22122,note7,Down,0.3
22153,note7,Down,0.3
22185,note7,Down,0.3
22230,note7,Down,0.3
22261,note7,Down,0.3
22285,note6,Down,0.3
22353,note7,Up,0.5
22854,note6,Down,0.55
22900,note6,Down,0.7
22932,note6,Down,0.75
22963,note6,Down,0.75
22993,note6,Down,0.75
23024,note6,Down,0.75
23056,note6,Down,0.75
23087,note6,Down,0.75
23117,note6,Down,0.75
23150,note6,Down,0.75
23196,note6,Down,0.75
23227,note6,Down,0.75
23258,note6,Down,0.75
23289,note6,Down,0.75
23321,note6,Down,0.75
23351,note6,Down,0.75
23382,note6,Down,0.75
23413,note6,Down,0.75
23459,note6,Down,0.75
23492,note6,Down,0.75
23521,note6,Down,0.75
23552,note6,Down,0.75
23584,note6,Down,0.75
23618,note6,Down,0.75
23649,note6,Down,0.75
23678,note6,Down,0.75
23709,note6,Down,0.75
23757,note6,Down,0.75
23790,note6,Down,0.75
23820,note6,Down,0.75
23852,note6,Down,0.75
23883,note6,Down,0.75
23907,note5,Down,0.75
24037,note6,Up,0.75
24538,note5,Down,1.05
24572,note5,Down,1.05
24602,note5,Down,1.05
24651,note5,Down,1.1
24683,note5,Down,1.15
24713,note5,Down,1.15
24744,note5,Down,1.15
24776,note5,Down,1.15
24807,note5,Down,1.15
24838,note5,Down,1.15
24870,note5,Down,1.15
24902,note5,Down,1.15
24933,note5,Down,1.15
24966,note5,Down,1.15
25013,note5,Down,1.15
25044,note5,Down,1.15
25074,note5,Down,1.15
25107,note5,Down,1.15
25140,note5,Down,1.15
25171,note5,Down,1.15
25200,note4,Down,1.15
25367,note5,Up,1.2
25871,note4,Down,1.75
25901,note4,Down,1.8
25933,note4,Down,1.8
25981,note4,Down,1.8
26010,note4,Down,1.8
26043,note4,Down,1.8
26073,note4,Down,1.8
26102,note4,Down,1.8
26133,note4,Down,1.8
26163,note4,Down,1.85
26210,note4,Down,1.95
26241,note4,Down,1.95
26273,note4,Down,1.95
26303,note4,Down,1.95
26334,note4,Down,1.95
26367,note4,Down,1.95
26398,note4,Down,1.95
26430,note4,Down,1.95
26462,note4,Down,1.95
26494,note4,Down,1.95
26528,note4,Down,1.95
26573,note4,Down,1.95
26585,note4,Up,1.95
